data,descricao,valor,tipo,categoria,numero_documento,centro_custo,conta_contabil,fornecedor_cliente
2025-09-11,RECEBIMENTO VENDAS PRODUTO A,2500.00,credito,Vendas,CONC001,CC001,1.01.001,CLIENTE VENDAS A
2025-09-11,PAGAMENTO FORNECEDOR ALPHA,1200.00,debito,Fornecedores,CONC002,CC002,2.01.001,FORNECEDOR ALPHA LTDA
2025-09-11,TAXA BANCARIA MENSAL,35.00,debito,Taxas Bancarias,CONC003,CC003,3.05.001,BANCO PRINCIPAL
2025-09-11,TRANSFERENCIA BANCO BETA,800.00,debito,Transferencias,CONC004,CC001,1.01.002,CONTA CORRENTE BETA
2025-09-11,DEPOSITO CAIXA LOJA,1500.00,credito,Depositos,CONC005,CC001,1.01.001,CAIXA LOJA MATRIZ
2025-09-11,RECEBIMENTO CLIENTE GAMMA,3150.00,credito,Vendas,DIV001,CC001,1.01.001,CLIENTE GAMMA CORP
2025-09-11,PAGAMENTO ENERGIA ELETRICA,475.00,debito,Despesas Operacionais,DIV002,CC004,3.02.001,ENEL ENERGIA SA
2025-09-11,SAQUE CAIXA ELETRONICO,300.00,debito,Saques,CONC006,CC001,1.01.003,CAIXA OPERACIONAL
2025-09-11,JUROS SOBRE APLICACAO,85.50,credito,Receitas Financeiras,CONC007,CC005,4.01.001,BANCO RENDIMENTO
2025-09-11,PAGAMENTO TELEFONIA,195.00,debito,Despesas Operacionais,DIV003,CC004,3.02.002,VIVO EMPRESAS
2025-09-11,RECEBIMENTO SERVICOS PRESTADOS,1800.00,credito,Servicos,CONC008,CC006,1.02.001,SERVICOS TECNICOS LTDA
2025-09-11,ESTORNO COBRANCA INDEVIDA,125.00,credito,Estornos,CONC009,CC007,4.03.001,BANCO PRINCIPAL
2025-09-11,PAGAMENTO ALUGUEL ESCRITORIO,2350.00,debito,Despesas Administrativas,DIV004,CC008,3.01.001,IMOBILIARIA CENTRO LTDA
2025-09-11,RECEBIMENTO VENDAS PRODUTO B,950.00,credito,Vendas,CONC010,CC001,1.01.001,CLIENTE VENDAS B
2025-09-11,COMPRA MATERIAL ESCRITORIO,320.75,debito,Material Consumo,CONC011,CC009,3.03.001,PAPELARIA MODERNA
2025-09-11,PAGAMENTO DUPLICADO TESTE,500.00,debito,Fornecedores,DUP001,CC002,2.01.001,FORNECEDOR DUPLICADO
2025-09-11,TRANSFERENCIA CONTA POUPANCA,1000.00,debito,Transferencias,CONC012,CC001,1.01.004,CONTA POUPANCA EMPRESA
2025-09-11,RECEBIMENTO COMISSAO VENDAS,398.75,credito,Comissoes,DIV005,CC010,1.03.001,VENDEDOR EXTERNO
2025-09-11,PAGAMENTO COMBUSTIVEL,250.00,debito,Despesas Operacionais,CONC013,CC011,3.02.003,POSTO COMBUSTIVEL ABC
2025-09-11,TAXA DOC ELETRONICO,8.50,debito,Taxas Bancarias,CONC014,CC003,3.05.002,BANCO PRINCIPAL
2025-09-11,RECEBIMENTO CLIENTE DELTA,1825.00,credito,Vendas,DIV006,CC001,1.01.001,CLIENTE DELTA INDUSTRIA
2025-09-11,PAGAMENTO MANUTENCAO EQUIPAMENTOS,680.00,debito,Despesas Operacionais,CONC015,CC012,3.02.004,EMPRESA MANUTENCAO TECH
2025-09-11,DEPOSITO CHEQUE TERCEIROS,950.00,credito,Depositos,DIV007,CC001,1.01.005,CHEQUE EMPRESA PARCEIRA
2025-09-11,PAGAMENTO SEGURO EMPRESARIAL,340.00,debito,Seguros,CONC016,CC013,3.04.001,SEGURADORA PROTECAO
2025-09-11,RECEBIMENTO REEMBOLSO,150.00,credito,Reembolsos,CONC017,CC014,4.02.001,REEMBOLSO DESPESAS
2025-09-11,SAQUE EMERGENCIA,350.00,debito,Saques,DIV008,CC001,1.01.003,CAIXA EMERGENCIA
2025-09-11,PAGAMENTO CONSULTORIA JURIDICA,1200.00,debito,Servicos Profissionais,CONC018,CC015,3.06.001,ESCRITORIO ADVOCACIA XYZ
2025-09-11,RECEBIMENTO DIVIDENDOS,312.45,credito,Receitas Financeiras,DIV009,CC005,4.01.002,EMPRESA PARTICIPACAO
2025-09-11,TAXA MANUTENCAO CONTA,25.00,debito,Taxas Bancarias,CONC019,CC003,3.05.003,BANCO PRINCIPAL
2025-09-11,LANCAMENTO SEM EXTRATO BANCO,567.89,debito,Despesas Operacionais,SEM001,CC016,3.02.099,FORNECEDOR ESPECIAL
2025-09-11,VALOR DIVERGENTE PROPOSITAL,1000.00,credito,Receitas Diversas,DIVPROP001,CC017,4.04.001,CLIENTE TESTE DIVERGENCIA
