data,descricao,valor,tipo,categoria,numero_documento
2025-08-15,PAGAMENTO FORNECEDOR TESTE 1,-1200.50,debito,Fornecedores,TEST001
2025-08-16,RECEBIMENTO CLIENTE TESTE A,2800.00,credito,Vendas,TESTA01
2025-08-17,TAXA SERVICO ESPECIAL,-89.90,debito,Taxas Bancarias,SRV001
2025-08-18,DEPOSITO CLIENTE B,1500.75,credito,Depositos,DEPB01
2025-08-19,PAGAMENTO DUPLICATA VENCIDA,-3200.00,debito,Fornecedores,DUP001
2025-08-20,RECEBIMENTO PARCELADO,950.25,credito,Vendas,PAR001
2025-08-21,COMPRA MATERIAIS DIVERSOS,-750.80,debito,Material Consumo,MAT001
2025-08-22,JUROS APLICACAO ESPECIAL,125.60,credito,Receitas Financeiras,JUR002
2025-08-23,PAGAMENTO SERVICO CONTRATADO,-1800.00,debito,Servicos Terceiros,CON002
2025-08-24,RECEBIMENTO EXPORTACAO,5600.00,credito,Vendas,EXP001
2025-08-25,VALOR INCORRETO SISTEMA,999.99,credito,Erros Sistema,ERR002
2025-08-26,PAGAMENTO EM DATA ERRADA,-2100.00,debito,Fornecedores,ERRA01
2025-08-27,DUPLICATA SISTEMA,1500.75,credito,Depositos,DUPB01
2025-08-28,LANCAMENTO FANTASMA,-456.78,debito,Desconhecido,FANT01
2025-08-29,CREDITO SEM ORIGEM,2345.67,credito,Nao Identificado,ORIG01
