data,descricao,valor,tipo,categoria,numero_documento,centro_custo,conta_contabil,fornecedor_cliente,observacoes
2025-09-11,RECEBIMENTO GRANDE CLIENTE,15000.00,credito,Vendas,GRANDE001,CC201,1.01.001,MEGA CORPORATION LTDA,Pagamento contrato anual
2025-09-11,PAGAMENTO FORNECEDOR PRINCIPAL,8500.00,debito,Fornecedores,PRINC001,CC202,2.01.001,FORNECEDOR A S/A,Materia prima mensal
2025-09-12,INVESTIMENTO EM MARKETING,2500.00,debito,Marketing,MARK001,CC203,3.08.001,AGENCIA DIGITAL LTDA,Google Ads e Facebook
2025-09-12,RECEBIMENTO LICENCIAMENTO,3200.00,credito,Royalties,LIC001,CC204,4.03.001,SOFTTECH SOLUTIONS,Licenca mensal software
2025-09-13,PAGAMENTO CONSULTORIA JURIDICA,1800.00,debito,Servicos Juridicos,JUR001,CC205,3.07.002,ADVOCACIA & CIA,Assessoria completa
2025-09-13,RECEITA CURSO ONLINE,4500.00,credito,Educacao,EDU001,CC206,4.02.002,ALUNOS DIVERSOS,Plataforma EAD
2025-09-14,COMPRA SERVIDOR,12000.00,debito,Tecnologia,TEC001,CC207,1.02.002,TECH HARDWARE LTDA,Dell PowerEdge R750
2025-09-14,RECEBIMENTO PARCERIA,6700.00,credito,Parcerias,PAR001,CC208,4.04.001,PARCEIRO ESTRATEGICO,30% das vendas
2025-09-15,PAGAMENTO TERCEIRIZADA LIMPEZA,950.00,debito,Servicos Terceiros,LIMP001,CC209,3.02.003,LIMPEZA TOTAL LTDA,Servico predial
2025-09-15,VENDA ATIVO IMOBILIZADO,25000.00,credito,Venda Ativos,ATIVO001,CC210,4.05.001,COMPRADOR XYZ SA,Equipamento depreciado
2025-09-16,MULTA RECEITA FEDERAL,1250.00,debito,Multas,MULTA001,CC211,3.06.002,RECEITA FEDERAL,DARF em atraso
2025-09-16,DIVIDENDOS RECEBIDOS,890.50,credito,Dividendos,DIV001,CC212,4.01.003,CORRETORA ABC,Dividendos Q3/2025
2025-09-17,PAGAMENTO SEGURO PREDIAL,2400.00,debito,Seguros,SEG001,CC213,3.04.002,SEGURADORA CONFIAVEL,Premio anual
2025-09-17,RECEBIMENTO SUBVENCAO GOVERNO,18000.00,credito,Subvencoes,SUB001,CC214,4.06.001,FINEP,Lei de Informatica
2025-09-18,COMPRA MATERIAL PROMOCIONAL,800.00,debito,Marketing,PROM001,CC203,3.08.002,GRAFICA RAPIDA LTDA,Evento corporativo
