data,descricao,valor,tipo,conta_contabil,centro_custo,numero_documento,fornecedor_cliente,historico
2025-10-28,PAGAMENTO PIX EMPRESA ABC LTDA,1250.00,debito,2.01.001,CC001,PIX20251028001,EMPRESA ABC LTDA,Pagamento de fornecedor via PIX
2025-10-28,RECEBIMENTO TED CLIENTE XYZ,3500.00,credito,1.01.001,CC002,TED20251028001,CLIENTE XYZ LTDA,Recebimento de cliente via TED
2025-10-28,COMPRA MATERIAIS CONSTRUCAO,850.75,debito,3.02.001,CC001,BOL20251028001,FORNECEDOR MATERIAIS SA,Compra de materiais diversos
2025-10-28,DEPOSITO EM CONTA CORRENTE,500.00,credito,1.01.001,CC001,DEP20251028001,,Deposito em especie na conta
2025-10-28,TARIFA BANCARIA OUTUBRO,25.90,debito,3.03.001,CC001,TAR20251028001,BANCO XYZ,Tarifa de manutencao de conta
2025-10-29,FOLHA DE PAGAMENTO OUTUBRO,4200.00,debito,3.01.001,CC001,SAL20251029001,,Pagamento de salarios dos funcionarios
2025-10-29,VENDAS A VISTA CARTAO,1890.50,credito,4.01.001,CC002,CAR20251029001,,Recebimento vendas cartao credito/debito
2025-10-29,CONTA DE ENERGIA ELETRICA,320.45,debito,3.03.002,CC001,ENE20251029001,COMPANHIA ELETRICA,Pagamento conta de luz outubro
2025-10-29,APLICACAO CONTA POUPANCA,1000.00,debito,1.02.001,CC001,TRA20251029001,,Transferencia para conta poupanca
2025-10-29,RECEITA JUROS BANCARIOS,12.35,credito,4.02.001,CC001,JUR20251029001,BANCO XYZ,Juros creditos em conta corrente
2025-10-30,PAGAMENTO ALUGUEL NOVEMBRO,2800.00,debito,3.04.001,CC001,ALU20251030001,IMOBILIARIA CENTRAL,Aluguel escritorio novembro
2025-10-30,PRESTACAO SERVICOS CONSULTORIA,2150.00,credito,4.01.002,CC002,SER20251030001,CLIENTE SERVICOS LTDA,Receita prestacao servicos
2025-10-30,MATERIAL DE ESCRITORIO,180.25,debito,3.02.002,CC001,MAT20251030001,PAPELARIA MODERNA,Compra material escritorio
2025-10-30,REEMBOLSO SEGURO VEICULO,450.00,credito,4.03.001,CC001,SEG20251030001,SEGURADORA ABC,Reembolso sinistro veiculo
2025-10-30,INTERNET E TELEFONE,155.80,debito,3.03.003,CC001,INT20251030001,TELECOM BRASIL,Conta telefone e internet
2025-10-31,ADIANTAMENTO FUNCIONARIO,200.00,debito,1.03.001,CC001,SAQ20251031001,FUNCIONARIO JOAO,Adiantamento de salario
2025-10-31,DEPOSITO CHEQUE CLIENTE,780.00,credito,1.01.001,CC002,CHE20251031001,CLIENTE CHEQUES SA,Deposito de cheque de terceiros
2025-10-31,COMBUSTIVEL VEICULOS,380.90,debito,3.02.003,CC001,COM20251031001,POSTO PETROBRAS,Abastecimento veiculos empresa
2025-10-31,IOF OPERACOES FINANCEIRAS,5.25,debito,3.05.001,CC001,IOF20251031001,RECEITA FEDERAL,IOF sobre operacoes bancarias
2025-10-31,RENDIMENTO CDB BANCO,95.40,credito,4.02.002,CC001,CDB20251031001,BANCO XYZ,Rendimento aplicacao CDB
2025-10-30,PAGAMENTO CONTADOR MENSAL,800.00,debito,3.06.001,CC001,CON20251030001,ESCRITORIO CONTABIL,Honorarios contabilidade outubro
2025-10-31,VENDA EQUIPAMENTO USADO,1200.00,credito,4.04.001,CC002,EQU20251031001,COMPRADOR EQUIPAMENTOS,Venda de equipamento usado
2025-10-29,MANUTENCAO EQUIPAMENTOS,450.50,debito,3.02.004,CC001,MAN20251029001,TECNICA ESPECIALIZADA,Manutencao preventiva equipamentos
2025-10-28,MULTA TRANSITO VEICULO,127.50,debito,3.05.002,CC001,MUL20251028001,DETRAN,Multa de transito veiculo empresa
