data,descricao,valor,tipo,categoria,numero_documento,observacoes
2025-09-11,RECEBIMENTO GRANDE CLIENTE,15000.00,credito,Vendas,GRANDE001,Cliente estratégico - pagamento à vista
2025-09-11,PAGAMENTO FORNECEDOR PRINCIPAL,-8500.00,debito,Fornecedores,PRINC001,Fornecedor principal - desconto obtido
2025-09-12,INVESTIMENTO EM MARKETING,-2500.00,debito,Marketing,MARK001,Campanha publicitária digital
2025-09-12,RECEBIMENTO LICENCIAMENTO,3200.00,credito,Royalties,LIC001,Licenciamento de software
2025-09-13,PAGAMENTO CONSULTORIA JURIDICA,-1800.00,debito,Servicos Juridicos,JUR001,Assessoria juridica mensal
2025-09-13,RECEITA CURSO ONLINE,4500.00,credito,Educacao,EDU001,Vendas cursos EAD
2025-09-14,COMPRA SERVIDOR,-12000.00,debito,Tecnologia,TEC001,Servidor para datacenter
2025-09-14,RECEBIMENTO PARCERIA,6700.00,credito,Parcerias,PAR001,Revenue sharing parceiro
2025-09-15,PAGAMENTO TERCEIRIZADA LIMPEZA,-950.00,debito,Servicos Terceiros,LIMP001,Limpeza predial mensal
2025-09-15,VENDA ATIVO IMOBILIZADO,25000.00,credito,Venda Ativos,ATIVO001,Venda equipamento usado
2025-09-16,MULTA RECEITA FEDERAL,-1250.00,debito,Multas,MULTA001,Atraso declaração
2025-09-16,DIVIDENDOS RECEBIDOS,890.50,credito,Dividendos,DIV001,Dividendos ações Petrobras
2025-09-17,PAGAMENTO SEGURO PREDIAL,-2400.00,debito,Seguros,SEG001,Seguro anual do predio
2025-09-17,RECEBIMENTO SUBVENCAO GOVERNO,18000.00,credito,Subvencoes,SUB001,Incentivo fiscal inovacao
2025-09-18,COMPRA MATERIAL PROMOCIONAL,-800.00,debito,Marketing,PROM001,Brindes e material promocional
