data,descricao,valor,tipo,categoria,numero_documento
2025-09-11,RECEBIMENTO VENDAS PRODUTO A,2500.00,credito,Vendas,CONC001
2025-09-11,PAGAMENTO FORNECEDOR ALPHA,-1200.00,debito,Fornecedores,CONC002
2025-09-11,TAXA BANCARIA MENSAL,-35.00,debito,Taxas Bancarias,CONC003
2025-09-11,TRANSFERENCIA BANCO BETA,-800.00,debito,Transferencias,CONC004
2025-09-11,DEPOSITO CAIXA LOJA,1500.00,credito,Depositos,CONC005
2025-09-11,RECEBIMENTO CLIENTE GAMMA,3200.00,credito,Vendas,DIV001
2025-09-11,PAGAMENTO ENERGIA ELETRICA,-450.00,debito,Despesas Operacionais,DIV002
2025-09-11,SAQUE CAIXA ELETRONICO,-300.00,debito,Saques,CONC006
2025-09-11,JUROS SOBRE APLICACAO,85.50,credito,Receitas Financeiras,CONC007
2025-09-11,PAGAMENTO TELEFONIA,-180.00,debito,Despesas Operacionais,DIV003
2025-09-11,RECEBIMENTO SERVICOS PRESTADOS,1800.00,credito,Servicos,CONC008
2025-09-11,ESTORNO COBRANCA INDEVIDA,125.00,credito,Estornos,CONC009
2025-09-11,PAGAMENTO ALUGUEL ESCRITORIO,-2200.00,debito,Despesas Administrativas,DIV004
2025-09-11,RECEBIMENTO VENDAS PRODUTO B,950.00,credito,Vendas,CONC010
2025-09-11,COMPRA MATERIAL ESCRITORIO,-320.75,debito,Material Consumo,CONC011
2025-09-11,PAGAMENTO DUPLICADO TESTE,-500.00,debito,Fornecedores,DUP001
2025-09-11,PAGAMENTO DUPLICADO TESTE,-500.00,debito,Fornecedores,DUP002
2025-09-11,TRANSFERENCIA CONTA POUPANCA,-1000.00,debito,Transferencias,CONC012
2025-09-11,RECEBIMENTO COMISSAO VENDAS,425.30,credito,Comissoes,DIV005
2025-09-11,PAGAMENTO COMBUSTIVEL,-250.00,debito,Despesas Operacionais,CONC013
2025-09-11,TAXA DOC ELETRONICO,-8.50,debito,Taxas Bancarias,CONC014
2025-09-11,RECEBIMENTO CLIENTE DELTA,1750.00,credito,Vendas,DIV006
2025-09-11,PAGAMENTO MANUTENCAO EQUIPAMENTOS,-680.00,debito,Despesas Operacionais,CONC015
2025-09-11,DEPOSITO CHEQUE TERCEIROS,890.00,credito,Depositos,DIV007
2025-09-11,PAGAMENTO SEGURO EMPRESARIAL,-340.00,debito,Seguros,CONC016
2025-09-11,RECEBIMENTO REEMBOLSO,150.00,credito,Reembolsos,CONC017
2025-09-11,SAQUE EMERGENCIA,-400.00,debito,Saques,DIV008
2025-09-11,PAGAMENTO CONSULTORIA JURIDICA,-1200.00,debito,Servicos Profissionais,CONC018
2025-09-11,RECEBIMENTO DIVIDENDOS,275.80,credito,Receitas Financeiras,DIV009
2025-09-11,TAXA MANUTENCAO CONTA,-25.00,debito,Taxas Bancarias,CONC019
