data,descricao,valor,tipo,categoria,numero_documento,centro_custo,conta_contabil,fornecedor_cliente
2025-09-11,VENDAS QUARTA-FEIRA,1500.00,credito,Vendas,VEN_QUA_001,CC001,1.01.001,CLIENTE QUARTA
2025-09-11,PAGAMENTO FORNECEDOR QUA,850.00,debito,Fornecedores,FOR_QUA_001,CC002,2.01.001,FORNECEDOR GAMMA
2025-09-10,VENDAS TERCA-FEIRA,1200.00,credito,Vendas,VEN_TER_001,CC001,1.01.001,CLIENTE TERCA
2025-09-10,PAGAMENTO ENERGIA TER,380.00,debito,Despesas Operacionais,ENE_TER_001,CC003,3.02.001,ENEL ENERGIA
2025-09-10,DEPOSITO TERCA,900.00,credito,Depositos,DEP_TER_001,CC001,1.01.001,CAIXA MATRIZ
2025-09-09,VENDAS SEGUNDA-FEIRA,2200.00,credito,Vendas,VEN_SEG_001,CC001,1.01.001,CLIENTE SEGUNDA
2025-09-09,PAGAMENTO ALUGUEL SEG,1800.00,debito,Despesas Operacionais,ALU_SEG_001,CC004,3.03.001,IMOBILIARIA DELTA
2025-09-09,SAQUE SEGUNDA,300.00,debito,Saques,SAQ_SEG_001,CC001,1.01.003,CAIXA FILIAL A
2025-09-09,TRANSFERENCIA SEGUNDA,500.00,debito,Transferencias,TRF_SEG_001,CC001,1.01.002,CONTA RESERVA
2025-09-08,VENDAS DOMINGO,800.00,credito,Vendas,VEN_DOM_001,CC001,1.01.001,CLIENTE DOMINGO
2025-09-08,TAXA BANCARIA DOMINGO,25.00,debito,Taxas Bancarias,TAX_DOM_001,CC005,3.05.001,BANCO EPSILON
2025-09-07,VENDAS SABADO,1600.00,credito,Vendas,VEN_SAB_001,CC001,1.01.001,CLIENTE SABADO
2025-09-07,PAGAMENTO FORNECEDOR SAB,750.00,debito,Fornecedores,FOR_SAB_001,CC002,2.01.001,FORNECEDOR ZETA
2025-09-06,VENDAS SEXTA-FEIRA,1850.00,credito,Vendas,VEN_SEX_001,CC001,1.01.001,CLIENTE SEXTA
2025-09-06,PAGAMENTO TELEFONE SEX,180.00,debito,Despesas Operacionais,TEL_SEX_001,CC006,3.04.001,TELECOM ETA
