data,descricao,valor,tipo,conta_contabil,centro_custo,numero_documento,fornecedor_cliente,historico
2025-11-01,COMPRA LICENCAS SOFTWARE,2500.50,debito,3.02.005,CC001,TEC20251101001,TECNOLOGIA LTDA,Aquisicao licencas software
2025-11-01,VENDA SERVICO CONSULTORIA,2500.50,credito,4.01.003,CC002,PRE20251101001,CLIENTE PREMIUM SA,Servicos de consultoria especializada
2025-11-01,TRANSFERENCIA CONTA INVESTIMENTO,1500.75,debito,1.02.002,CC001,TRF20251101001,,Aplicacao em conta investimento
2025-11-02,PAGAMENTO FORNECEDOR EM ATRASO,890.30,debito,2.01.002,CC001,DUP20251102001,FORNECEDOR MATERIAIS,Quitacao duplicata em atraso
2025-11-02,RECEBIMENTO CLIENTE ATRASO,890.25,credito,1.01.002,CC002,DUP20251102002,CLIENTE SERVICOS,Recebimento duplicata com desconto
2025-11-03,AQUISICAO COMPUTADORES,3250.00,debito,1.04.001,CC001,EQI20251103001,INFORMATICA TOTAL,Compra equipamentos informatica
2025-11-03,CANCELAMENTO COMPRA,150.50,credito,4.05.001,CC001,EST20251103001,FORNECEDOR ABC,Estorno compra cancelada
2025-11-04,APLICACAO FUNDO INVESTIMENTO,5000.00,debito,1.02.003,CC001,INV20251104001,BANCO INVESTIMENTOS,Aplicacao em fundo de renda fixa
2025-11-04,RECEITA JUROS APLICACAO,8.75,credito,4.02.003,CC001,JUR20251104001,BANCO XYZ,Juros sobre aplicacao bancaria
2025-11-05,RETIRADA PRO-LABORE,300.00,debito,3.01.002,CC001,SAQ20251105001,SOCIO ADMINISTRADOR,Retirada pro-labore mensal
2025-11-05,RECEBIMENTO VENDAS VAREJO,750.25,credito,4.01.004,CC002,VEN20251105001,,Vendas a vista em dinheiro
2025-11-06,DESPESAS CARTAO EMPRESARIAL,1251.00,debito,3.07.001,CC001,CAR20251106001,,Despesas diversas cartao corporativo
2025-11-06,OBTENCAO EMPRESTIMO BANCO,10000.00,credito,2.02.001,CC001,EMP20251106001,BANCO FINANCIADOR,Emprestimo capital de giro
2025-11-07,RECOLHIMENTO TRIBUTOS,1800.50,debito,3.05.003,CC001,IMP20251107001,RECEITA FEDERAL,Pagamento impostos federais
2025-11-07,EMISSAO NOTA FISCAL SERVICOS,1799.50,credito,4.01.005,CC002,NFE20251107001,CLIENTE CORPORATIVO,Faturamento servicos especializados
2025-11-08,MANUTENCAO PREDIAL,680.00,debito,3.03.004,CC001,MAN20251108001,CONSTRUTORA REFORMAS,Manutencao predial escritorio
2025-11-09,MULTA RECEITA FEDERAL,250.00,debito,3.05.004,CC001,MUL20251109001,RECEITA FEDERAL,Multa por atraso declaracao
2025-11-10,BONUS FUNCIONARIO,500.00,debito,3.01.003,CC001,BON20251110001,FUNCIONARIO DESTAQUE,Bonus por desempenho excepcional
