Data,Descrição,Valor,Tipo
2024-09-01,Transferência PIX - João Silva,1500.00,credito
2024-09-01,Compra cartão débito - Supermercado ABC,85.50,debito
2024-09-02,Depósito em dinheiro,2000.00,credito
2024-09-02,Transferência TED - Maria Santos,750.00,credito
2024-09-03,Compra cartão débito - Posto de Gasolina,120.00,debito
2024-09-03,Saque ATM,300.00,debito
2024-09-04,Salário - Empresa XYZ,5000.00,credito
2024-09-04,Transferência PIX - Pedro Costa,250.00,credito
2024-09-05,Compra cartão débito - Farmácia,45.80,debito
2024-09-05,Transferência PIX - Ana Lima,180.00,credito
2024-09-06,Depósito cheque,1200.00,credito
2024-09-06,Compra cartão débito - Restaurante,95.00,debito
2024-09-07,Transferência PIX - Carlos Oliveira,320.00,credito
2024-09-07,Saque ATM,200.00,debito
2024-09-08,Compra cartão débito - Loja de Roupas,280.50,debito
2024-09-08,Transferência PIX - Fernanda Rocha,150.00,credito
2024-09-09,Depósito em dinheiro,800.00,credito
2024-09-09,Compra cartão débito - Padaria,25.30,debito
2024-09-10,Transferência PIX - Roberto Alves,400.00,credito
2024-09-10,Saque ATM,150.00,debito
