data,descricao,valor,tipo,categoria,numero_documento,centro_custo,conta_contabil,fornecedor_cliente
2025-09-11,PAGAMENTO FORNECEDOR ALPHA,1050.00,debito,Fornecedores,DIV001,CC001,2.01.001,FORNECEDOR ALPHA
2025-09-11,RECEBIMENTO CLIENTE BETA,2450.00,credito,Vendas,DIV002,CC002,1.01.001,CLIENTE BETA
2025-09-11,PAGAMENTO DUPLICADO TESTE,500.00,debito,Fornecedores,DIV003,CC001,2.01.001,FORNECEDOR GAMMA
2025-09-11,TRANSFERENCIA BANCARIA,800.00,debito,Transferencias,DIV005,CC003,1.01.002,CONTA POUPANCA
2025-09-10,RECEBIMENTO VENDAS ONTEM,1250.00,credito,Vendas,DIV006,CC002,1.01.001,VENDAS DELTA
2025-09-10,PAGAMENTO ENERGIA ONTEM,380.00,debito,Despesas Operacionais,DIV007,CC004,3.02.001,ENEL ENERGIA
2025-09-10,TAXA BANCARIA ONTEM,25.00,debito,Taxas Bancarias,DIV008,CC005,3.05.001,BANCO EPSILON
2025-08-30,LANCAMENTO SEM EXTRATO CORRESPONDENTE,1234.56,debito,Despesas Operacionais,SEM001,CC107,3.02.010,FORNECEDOR INEXISTENTE
2025-08-31,VALOR DIFERENTE DO EXTRATO,1500.00,credito,Depositos,DIF001,CC108,1.01.013,VALOR DIVERGENTE
2025-08-18,DATA DIVERGENTE DEPOSITO,1500.75,credito,Depositos,DEPB01,CC109,1.01.014,CLIENTE B
2025-08-15,DUPLICATA CONTABIL,999.99,credito,Erros Sistema,ERR002,CC999,9.99.998,SISTEMA CONTABIL
