data,descricao,valor,tipo,categoria,numero_documento
2025-09-01,PAGAMENTO FORNECEDOR ABC LTDA,-2500.00,debito,Fornecedores,DOC001
2025-09-01,RECEBIMENTO CLIENTE XYZ SA,4500.00,credito,Vendas,REC001
2025-09-02,TAXA BANCARIA MENSAL,-45.00,debito,Taxas Bancarias,TAX001
2025-09-02,TRANSFERENCIA ENTRE CONTAS,-1000.00,debito,Transferencias,TRF001
2025-09-03,DEPOSITO EM DINHEIRO,800.00,credito,Depositos,DEP001
2025-09-03,PAGAMENTO ENERGIA ELETRICA,-320.50,debito,Despesas Operacionais,PAG001
2025-09-04,RECEBIMENTO VENDAS LOJA,1250.75,credito,Vendas,REC002
2025-09-04,SAQUE CAIXA ELETRONICO,-200.00,debito,Saques,SAQ001
2025-09-05,PAGAMENTO SALARIOS,-8500.00,debito,Folha Pagamento,SAL001
2025-09-05,JUROS SOBRE APLICACAO,75.25,credito,Receitas Financeiras,JUR001
2025-09-06,COMPRA MATERIAL ESCRITORIO,-450.30,debito,Material Consumo,COM001
2025-09-06,RECEBIMENTO SERVICOS PRESTADOS,2800.00,credito,Servicos,SRV001
2025-09-07,PAGAMENTO ALUGUEL,-1800.00,debito,Despesas Administrativas,ALU001
2025-09-07,ESTORNO COBRANCA INDEVIDA,125.00,credito,Estornos,EST001
2025-09-08,PAGAMENTO IMPOSTOS,-950.75,debito,Impostos,IMP001
2025-09-08,RECEBIMENTO CLIENTE ABC,-3200.00,debito,Vendas,REC003
2025-09-09,COMPRA EQUIPAMENTOS,-5500.00,debito,Investimentos,EQP001
2025-09-09,RENDIMENTO CONTA POUPANCA,35.80,credito,Receitas Financeiras,REN001
2025-09-10,PAGAMENTO CONSULTORIA,-1200.00,debito,Servicos Terceiros,CON001
2025-09-10,RECEBIMENTO PARCELA FINANCIAMENTO,890.00,credito,Financiamentos,FIN001
2025-09-01,ERRO SISTEMA BANCARIO,999.99,credito,Outros,ERR001
2025-09-02,PAGAMENTO DUPLICADO FORNECEDOR,-2500.00,debito,Fornecedores,DOC002
2025-09-03,VALOR INCORRETO DEPOSITO,1600.00,credito,Depositos,DEP002
2025-09-04,TARIFA NAO IDENTIFICADA,-78.90,debito,Taxas Bancarias,TAR001
2025-09-05,TRANSFERENCIA SEM IDENTIFICACAO,-500.00,debito,Transferencias,TRF999
