data,descricao,valor,tipo,conta_contabil,centro_custo,numero_documento,fornecedor_cliente,historico
2025-11-15,PAGAMENTO FORNECEDOR SERVICOS,1200.00,debito,2.01.003,CC001,DUP20251115001,FORNECEDOR SERVICOS SA,Pagamento servicos especializados
2025-11-16,FATURAMENTO CLIENTE CORPORATIVO,2500.25,credito,4.01.006,CC002,CLI20251116001,EMPRESA CLIENTE A,Prestacao servicos mensais
2025-11-16,RECEITA ADICIONAL CLIENTE,2500.25,credito,4.01.007,CC002,CLI20251116003,EMPRESA CLIENTE A,Servicos extras solicitados
2025-11-17,APLICACAO FUNDO RENDA FIXA,1000.00,debito,1.02.004,CC001,TRF20251117001,,Aplicacao em fundo de investimento
2025-11-18,FATURA CARTAO EMPRESARIAL,850.75,debito,3.07.002,CC001,CAR20251118001,,Despesas cartao credito corporativo
2025-11-18,BONIFICACAO PROGRAMA FIDELIDADE,42.54,credito,4.05.002,CC001,BON20251118001,CARTAO BENEFICIOS,Cashback programa fidelidade
2025-11-19,INVESTIMENTO MARKETING DIGITAL,299.99,debito,3.08.001,CC001,MAR20251119001,AGENCIA PUBLICIDADE,Material promocional campanha
2025-11-19,PRODUCAO MATERIAL GRAFICO,300.00,debito,3.08.002,CC001,MAR20251119003,GRAFICA MODERNA,Impressao material promocional
2025-11-20,RECEITA JUROS ATRASO,15.75,credito,4.02.004,CC001,JUR20251120001,CLIENTE EM ATRASO,Juros por atraso no pagamento
2025-11-20,CONCESSAO DESCONTO CLIENTE,15.75,debito,4.06.001,CC002,DESC20251120001,CLIENTE PONTUAL,Desconto por pontualidade
2025-11-21,AQUISICAO EQUIPAMENTO SEGURANCA,750.00,debito,1.04.002,CC001,SEG20251121001,SEGURANCA TOTAL,Sistema de monitoramento
2025-11-22,RECEITA ALUGUEL ESPACO,1200.00,credito,4.07.001,CC001,ALU20251122001,INQUILINO COMERCIAL,Aluguel espaco comercial
2025-11-23,MANUTENCAO SISTEMA INFORMATICA,480.50,debito,3.03.005,CC001,SIS20251123001,INFORMATICA LTDA,Manutencao servidores
