data,descricao,valor,tipo,categoria,numero_documento,centro_custo,conta_contabil,fornecedor_cliente
2025-09-01,PAGAMENTO FORNECEDOR ABC LTDA,2500.00,debito,Fornecedores,DOC001,CC001,2.01.001,ABC LTDA
2025-09-01,RECEBIMENTO CLIENTE XYZ SA,4500.00,credito,Vendas,REC001,CC002,1.01.001,XYZ SA
2025-09-02,TAXA BANCARIA MENSAL,45.00,debito,Taxas Bancarias,TAX001,CC003,3.05.001,BANCO XYZ
2025-09-02,TRANSFERENCIA ENTRE CONTAS,1000.00,debito,Transferencias,TRF001,CC001,1.01.002,CONTA CORRENTE
2025-09-03,DEPOSITO EM DINHEIRO,800.00,credito,Depositos,DEP001,CC001,1.01.001,CAIXA
2025-09-03,PAGAMENTO ENERGIA ELETRICA,320.50,debito,Despesas Operacionais,PAG001,CC004,3.02.001,ENEL
2025-09-04,RECEBIMENTO VENDAS LOJA,1250.75,credito,Vendas,REC002,CC002,1.01.001,VENDAS VAREJO
2025-09-04,SAQUE CAIXA ELETRONICO,200.00,debito,Saques,SAQ001,CC001,1.01.003,CAIXA
2025-09-05,PAGAMENTO SALARIOS,8500.00,debito,Folha Pagamento,SAL001,CC005,3.01.001,FUNCIONARIOS
2025-09-05,JUROS SOBRE APLICACAO,75.25,credito,Receitas Financeiras,JUR001,CC001,4.01.001,BANCO APLICACAO
2025-09-06,COMPRA MATERIAL ESCRITORIO,450.30,debito,Material Consumo,COM001,CC003,3.03.001,PAPELARIA ABC
2025-09-06,RECEBIMENTO SERVICOS PRESTADOS,2800.00,credito,Servicos,SRV001,CC002,4.02.001,CLIENTE SERVICOS
2025-09-07,PAGAMENTO ALUGUEL,1800.00,debito,Despesas Administrativas,ALU001,CC003,3.04.001,IMOBILIARIA XYZ
2025-09-07,ESTORNO COBRANCA INDEVIDA,125.00,credito,Estornos,EST001,CC001,1.01.001,BANCO
2025-09-08,PAGAMENTO IMPOSTOS,950.75,debito,Impostos,IMP001,CC006,3.06.001,RECEITA FEDERAL
2025-09-08,RECEBIMENTO CLIENTE ABC,3200.00,credito,Vendas,REC003,CC002,1.01.001,CLIENTE ABC
2025-09-09,COMPRA EQUIPAMENTOS,5500.00,debito,Investimentos,EQP001,CC007,1.02.001,FORNECEDOR EQUIPOS
2025-09-09,RENDIMENTO CONTA POUPANCA,35.80,credito,Receitas Financeiras,REN001,CC001,4.01.002,BANCO POUPANCA
2025-09-10,PAGAMENTO CONSULTORIA,1200.00,debito,Servicos Terceiros,CON001,CC008,3.07.001,CONSULTORIA TECH
2025-09-10,RECEBIMENTO PARCELA FINANCIAMENTO,890.00,credito,Financiamentos,FIN001,CC001,2.02.001,BANCO FINANC
2025-09-01,LANCAMENTO NAO IDENTIFICADO,1500.00,credito,Outros,LAN001,CC999,9.99.999,NAO IDENTIFICADO
2025-09-03,VALOR DIVERGENTE FORNECEDOR,2800.00,debito,Fornecedores,FOR999,CC001,2.01.002,FORNECEDOR Y
2025-09-04,DATA DIVERGENTE CLIENTE,1250.75,credito,Vendas,REC004,CC002,1.01.001,CLIENTE Z
2025-09-06,DUPLICATA SEM EXTRATO,675.40,debito,Despesas Operacionais,DUP001,CC004,3.02.002,FORNECEDOR SEM EXTRATO
