Data,Descrição,Valor,Tipo
2025-01-02,Venda Janeiro - Produto A,1200.00,credito
2025-01-02,Compra Material,85.50,debito
2025-01-03,Transferência PIX Recebida,750.50,credito
2025-01-03,Pagamento Fornecedor,450.00,debito
2025-01-04,Depósito Cliente VIP,2000.00,credito
2025-01-04,Saque Operacional,300.00,debito
2025-01-05,PIX Cliente Premium,890.75,credito
2025-01-05,Compra Equipamentos,678.90,debito
2025-01-06,Recebimento Boleto,567.30,credito
2025-01-06,Taxa Bancária,25.00,debito
2025-01-07,Transferência Recebida,1100.00,credito
2025-01-07,Pagamento Conta Energia,234.67,debito
2025-01-08,Venda PIX Rápida,445.80,credito
2025-01-08,Compra Combustível,156.40,debito
2025-01-09,Depósito Cheque,789.20,credito
2025-01-09,Saque ATM,400.00,debito
2025-01-10,PIX Empresarial,1500.00,credito
2025-01-10,Pagamento Cartão,267.85,debito
